county,projects,mw_capacity,senator,senator_party,senate_district
Crawford,6,131.7,Michele Brooks,R,50
York,4,122.5,Kristin Phillips-Hill,R,28
McKean,2,122.2,Cris Dush,R,25
Centre,3,109.0,Cris Dush,R,25
Bucks,1,100.0,Steve Santarsiero,D,10
Somerset,4,90.0,Pat Stefano,R,32
Erie,2,80.0,Dan Laughlin,R,49
Adams,4,78.0,Doug Mastriano,R,33
Mercer,4,67.5,Michele Brooks,R,50
Indiana,1,66.0,Joe Pittman,R,41
Jefferson,2,59.2,Cris Dush,R,25
Columbia,5,55.3,Gene Yaw,R,23
Franklin,1,53.5,Doug Mastriano,R,33
Monroe,1,48.0,Rosemary Brown,R,40
Union,4,48.0,Lynda Schlegel Culver,R,27
Carbon,1,39.5,David Argall,R,29
Northumberland,4,37.2,Lynda Schlegel Culver,R,27
Huntingdon,3,36.0,Judy Ward,R,30
Snyder,2,36.0,Lynda Schlegel Culver,R,27
Juniata,1,35.0,Cris Dush,R,25
Lawrence,1,25.2,Elder Vogel Jr.,R,47
Luzerne,2,24.0,Lisa Baker,R,20
Clearfield,1,20.5,Wayne Langerholc,R,35
Blair,1,12.0,Judy Ward,R,30
Bradford,1,12.0,Gene Yaw,R,23
Westmoreland,1,12.0,Kim Ward,R,39
Dauphin,2,11.2,Patty Kim,D,15
Cumberland,1,10.9,Mike Regan,R,31
Fulton,1,9.4,Doug Mastriano,R,33
Montour,1,8.4,Gene Yaw,R,23
Berks,1,8.0,Judy Schwank,D,11
Fayette,1,8.0,Pat Stefano,R,32
Bedford,1,7.2,Judy Ward,R,30
