id,name,county,fuel,fuel_group,cliff_exposed,mw_capacity,mw_energy,mfo,status,submitted,service_start_date,test_energy_date,commercial_operation_milestone,revised_in_service_date,transmission_owner,csa_posted,gia_url,senator,senator_party,senate_district
AD2-077,Energy Mountain,Bucks,Storage,Storage,False,100.0,150.0,150.0,Suspended,2018-03-16,,,2029-07-31,2029-07-31,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ad2_077_isa.pdf,Steve Santarsiero,D,10
AE2-344,Shorebird Solar,Crawford,Solar,Solar,True,69.9,116.5,116.5,Suspended,2019-03-14,,2025-10-31,2025-12-31,2025-12-31,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_344_isa.pdf,Michele Brooks,R,50
AF1-272,Hoodlebug Solar Energy Center,Indiana,Solar,Solar,True,66.0,110.0,110.0,Engineering and Procurement,2019-10-01,,2027-06-21,2027-08-31,2027-08-31,PENELEC,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af1_272_gia.pdf,Joe Pittman,R,41
AE2-113,Ridgeway Solar,McKean,Solar,Solar,True,61.9,120.0,120.0,Under Construction,2019-03-01,,2026-06-22,2026-08-10,2026-08-10,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_113_isa.pdf,Cris Dush,R,25
AE2-139,Bradford Solar,McKean,Solar,Solar,True,60.3,100.5,100.5,Engineering and Procurement,2019-03-09,,2027-11-16,2027-12-15,2027-12-15,PENELEC,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ae2_139_gia.pdf,Cris Dush,R,25
AF1-143,Rockdale Solar,Somerset,Solar,Solar,True,60.0,100.0,100.0,Engineering and Procurement,2019-09-18,,2027-11-16,2027-12-31,2027-12-31,PENELEC,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af1_143_gia.pdf,Pat Stefano,R,32
AD2-062,Beaver Creek Solar,Franklin,Solar,Solar,True,53.5,80.3,80.3,Suspended,2018-02-24,,2024-09-01,2024-12-03,2024-12-03,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ad2_062_isa.pdf,Doug Mastriano,R,33
AE2-262,MPG Solar,Centre,Solar,Solar,True,50.0,83.6,83.6,Engineering and Procurement,2019-03-29,,2028-06-07,2028-07-31,2028-07-31,APS,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_262_isa.pdf,Cris Dush,R,25
AE2-175,Swiftwater Solar,Monroe,Solar,Solar,True,48.0,80.0,80.0,Partially in Service - Under Construction,2019-03-19,,2025-04-18,2025-12-31,2025-12-31,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_175_isa.pdf,Rosemary Brown,R,40
AF1-098,Wilson Solar,Erie,Solar,Solar,True,48.0,80.0,80.0,Engineering and Procurement,2019-08-30,,2027-11-12,2028-01-29,2028-01-29,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af1_098_isa.pdf,Dan Laughlin,R,49
